Program,Org Name,Site Location,State,Speciality Description,Star Rating,API_Place_Search,API_Place_Detail
DES-Employment Support Service,APM Employment Services,HEIDELBERG,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.7567734, 'lng': 145.0624057}, 'viewport': {'northeast': {'lat': -37.75536852010728, 'lng': 145.0636875798927}, 'southwest': {'lat': -37.75806817989272, 'lng': 145.0609879201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ6_vO2ohG1moRGnMlPX_zzi8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '100B', 'short_name': '100B', 'types': ['street_number']}, {'long_name': 'Mount Street', 'short_name': 'Mount St', 'types': ['route']}, {'long_name': 'Heidelberg', 'short_name': 'Heidelberg', 'types': ['locality', 'political']}, {'long_name': 'Banyule City', 'short_name': 'Banyule', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3084', 'short_name': '3084', 'types': ['postal_code']}], 'formatted_address': '100B Mount St, Heidelberg VIC 3084, Australia', 'formatted_phone_number': '(03) 9457 7863', 'url': 'https://maps.google.com/?cid=3444958492797268762', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=heidelberg'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,INVERLOCH,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.63319329999999, 'lng': 145.7278083}, 'viewport': {'northeast': {'lat': -38.63216497010728, 'lng': 145.7291068298927}, 'southwest': {'lat': -38.63486462989272, 'lng': 145.7264071701073}}}, 'name': 'APM', 'place_id': 'ChIJ30og5f4TKmsRzYYERUx1FuA'}, {'geometry': {'location': {'lat': -38.6039932, 'lng': 145.5859362}, 'viewport': {'northeast': {'lat': -38.60253097010728, 'lng': 145.5892578}, 'southwest': {'lat': -38.60523062989272, 'lng': 145.584829}}}, 'name': 'APM', 'place_id': 'ChIJ3eT2sYgMKmsRmSCG_i9i5yY'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '16', 'short_name': '16', 'types': ['street_number']}, {'long_name': 'Abeckett Street', 'short_name': 'Abeckett St', 'types': ['route']}, {'long_name': 'Inverloch', 'short_name': 'Inverloch', 'types': ['locality', 'political']}, {'long_name': 'Bass Coast Shire', 'short_name': 'Bass Coast', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3996', 'short_name': '3996', 'types': ['postal_code']}], 'formatted_address': '16 Abeckett St, Inverloch VIC 3996, Australia', 'formatted_phone_number': '(03) 5174 5511', 'url': 'https://maps.google.com/?cid=16147222484419380941', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=inverloch'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,LAKES ENTRANCE,VIC,Mental Health,5,"[{'candidates': [{'geometry': {'location': {'lat': -37.8794365, 'lng': 147.9906312}, 'viewport': {'northeast': {'lat': -37.87812102010727, 'lng': 147.9921021798927}, 'southwest': {'lat': -37.88082067989271, 'lng': 147.9894025201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ5TYUfq9hJWsRxsKVwN-N0Po'}, {'geometry': {'location': {'lat': -37.7896113, 'lng': 148.102168}, 'viewport': {'northeast': {'lat': -37.78827927010728, 'lng': 148.1034849298927}, 'southwest': {'lat': -37.79097892989272, 'lng': 148.1007852701073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJZ8CrZp9bJWsRJUQiIFLdINc'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Shop 3', 'short_name': 'Shop 3', 'types': ['subpremise']}, {'long_name': '3', 'short_name': '3', 'types': ['street_number']}, {'long_name': 'Carpenter Street', 'short_name': 'Carpenter St', 'types': ['route']}, {'long_name': 'Lakes Entrance', 'short_name': 'Lakes Entrance', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3909', 'short_name': '3909', 'types': ['postal_code']}], 'formatted_address': 'Shop 3/3 Carpenter St, Lakes Entrance VIC 3909, Australia', 'formatted_phone_number': '(03) 5155 2846', 'url': 'https://maps.google.com/?cid=18073101296786064070', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=lakes-entrance'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,LAKES ENTRANCE,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.8794365, 'lng': 147.9906312}, 'viewport': {'northeast': {'lat': -37.87812102010727, 'lng': 147.9921021798927}, 'southwest': {'lat': -37.88082067989271, 'lng': 147.9894025201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ5TYUfq9hJWsRxsKVwN-N0Po'}, {'geometry': {'location': {'lat': -37.7896113, 'lng': 148.102168}, 'viewport': {'northeast': {'lat': -37.78827927010728, 'lng': 148.1034849298927}, 'southwest': {'lat': -37.79097892989272, 'lng': 148.1007852701073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJZ8CrZp9bJWsRJUQiIFLdINc'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Shop 3', 'short_name': 'Shop 3', 'types': ['subpremise']}, {'long_name': '3', 'short_name': '3', 'types': ['street_number']}, {'long_name': 'Carpenter Street', 'short_name': 'Carpenter St', 'types': ['route']}, {'long_name': 'Lakes Entrance', 'short_name': 'Lakes Entrance', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3909', 'short_name': '3909', 'types': ['postal_code']}], 'formatted_address': 'Shop 3/3 Carpenter St, Lakes Entrance VIC 3909, Australia', 'formatted_phone_number': '(03) 5155 2846', 'url': 'https://maps.google.com/?cid=18073101296786064070', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=lakes-entrance'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,LEONGATHA,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.478816, 'lng': 145.9467319}, 'viewport': {'northeast': {'lat': -38.47738802010728, 'lng': 145.9480515798927}, 'southwest': {'lat': -38.48008767989273, 'lng': 145.9453519201073}}}, 'name': 'APM', 'place_id': 'ChIJaUY3EbgnKmsRc7DNwU_3bzw'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '1A', 'short_name': '1A', 'types': ['street_number']}, {'long_name': 'Church Street', 'short_name': 'Church St', 'types': ['route']}, {'long_name': 'Leongatha', 'short_name': 'Leongatha', 'types': ['locality', 'political']}, {'long_name': 'South Gippsland Shire', 'short_name': 'South Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3953', 'short_name': '3953', 'types': ['postal_code']}], 'formatted_address': '1A Church St, Leongatha VIC 3953, Australia', 'formatted_phone_number': '(03) 5622 7010', 'url': 'https://maps.google.com/?cid=4354971286616518771', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=leongatha-duplicate'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,LILYDALE,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.7569356, 'lng': 145.3532003}, 'viewport': {'northeast': {'lat': -37.75560512010728, 'lng': 145.3546800798927}, 'southwest': {'lat': -37.75830477989272, 'lng': 145.3519804201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ-5Q3AF4u1moRauzRV87r9Gk'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '3', 'short_name': '3', 'types': ['subpremise']}, {'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Castella Street', 'short_name': 'Castella St', 'types': ['route']}, {'long_name': 'Lilydale', 'short_name': 'Lilydale', 'types': ['locality', 'political']}, {'long_name': 'Yarra Ranges Shire', 'short_name': 'Yarra Ranges', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3140', 'short_name': '3140', 'types': ['postal_code']}], 'formatted_address': '3/5 Castella St, Lilydale VIC 3140, Australia', 'formatted_phone_number': '(03) 9738 7081', 'url': 'https://maps.google.com/?cid=7634986539768999018', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=lilydale'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,MAFFRA,VIC,Mental Health,5,"[{'candidates': [{'geometry': {'location': {'lat': -37.9682426, 'lng': 146.979186}, 'viewport': {'northeast': {'lat': -37.96697352010728, 'lng': 146.9804656298927}, 'southwest': {'lat': -37.96967317989272, 'lng': 146.9777659701073}}}, 'name': 'APM', 'place_id': 'ChIJoWFfsdMzL2sRMPGF-NhqxaE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '170', 'short_name': '170', 'types': ['street_number']}, {'long_name': 'Johnson Street', 'short_name': 'Johnson St', 'types': ['route']}, {'long_name': 'Maffra', 'short_name': 'Maffra', 'types': ['locality', 'political']}, {'long_name': 'Wellington Shire', 'short_name': 'Wellington', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3860', 'short_name': '3860', 'types': ['postal_code']}], 'formatted_address': '170 Johnson St, Maffra VIC 3860, Australia', 'formatted_phone_number': '(03) 5143 0571', 'url': 'https://maps.google.com/?cid=11656840690633404720', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=maffra'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,MAFFRA,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.9682426, 'lng': 146.979186}, 'viewport': {'northeast': {'lat': -37.96697352010728, 'lng': 146.9804656298927}, 'southwest': {'lat': -37.96967317989272, 'lng': 146.9777659701073}}}, 'name': 'APM', 'place_id': 'ChIJoWFfsdMzL2sRMPGF-NhqxaE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '170', 'short_name': '170', 'types': ['street_number']}, {'long_name': 'Johnson Street', 'short_name': 'Johnson St', 'types': ['route']}, {'long_name': 'Maffra', 'short_name': 'Maffra', 'types': ['locality', 'political']}, {'long_name': 'Wellington Shire', 'short_name': 'Wellington', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3860', 'short_name': '3860', 'types': ['postal_code']}], 'formatted_address': '170 Johnson St, Maffra VIC 3860, Australia', 'formatted_phone_number': '(03) 5143 0571', 'url': 'https://maps.google.com/?cid=11656840690633404720', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=maffra'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,MALLACOOTA,VIC,Mental Health,5,"[{'candidates': [{'geometry': {'location': {'lat': -37.55862810000001, 'lng': 149.7508356}, 'viewport': {'northeast': {'lat': -37.55727777010728, 'lng': 149.7521815798927}, 'southwest': {'lat': -37.55997742989273, 'lng': 149.7494819201073}}}, 'name': 'APM', 'place_id': 'ChIJMUrNFezfO2sRdlBaKPD-jGE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Mattsson Street', 'short_name': 'Mattsson St', 'types': ['route']}, {'long_name': 'Mallacoota', 'short_name': 'Mallacoota', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3892', 'short_name': '3892', 'types': ['postal_code']}], 'formatted_address': 'Mallacoota District Health & Support Service Cnr Genoa Road &, Mattsson St, Mallacoota VIC 3892, Australia', 'formatted_phone_number': '(03) 5143 0571', 'url': 'https://maps.google.com/?cid=7029273425841115254', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=mallacoota'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,MALLACOOTA,VIC,All Client Types,New Site,"[{'candidates': [{'geometry': {'location': {'lat': -37.55862810000001, 'lng': 149.7508356}, 'viewport': {'northeast': {'lat': -37.55727777010728, 'lng': 149.7521815798927}, 'southwest': {'lat': -37.55997742989273, 'lng': 149.7494819201073}}}, 'name': 'APM', 'place_id': 'ChIJMUrNFezfO2sRdlBaKPD-jGE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Mattsson Street', 'short_name': 'Mattsson St', 'types': ['route']}, {'long_name': 'Mallacoota', 'short_name': 'Mallacoota', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3892', 'short_name': '3892', 'types': ['postal_code']}], 'formatted_address': 'Mallacoota District Health & Support Service Cnr Genoa Road &, Mattsson St, Mallacoota VIC 3892, Australia', 'formatted_phone_number': '(03) 5143 0571', 'url': 'https://maps.google.com/?cid=7029273425841115254', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=mallacoota'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,MARYBOROUGH,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.046938, 'lng': 143.7417911}, 'viewport': {'northeast': {'lat': -37.04547467010727, 'lng': 143.7430333798927}, 'southwest': {'lat': -37.04817432989272, 'lng': 143.7403337201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJXYtfRYnf0GoR5Q9GNWxuOVI'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': ""Goldfields Children's Centre"", 'short_name': ""Goldfields Children's Centre"", 'types': ['point_of_interest', 'establishment']}, {'long_name': '100', 'short_name': '100', 'types': ['street_number']}, {'long_name': 'Napier Street', 'short_name': 'Napier St', 'types': ['route']}, {'long_name': 'Maryborough', 'short_name': 'Maryborough', 'types': ['locality', 'political']}, {'long_name': 'Central Goldfields Shire', 'short_name': 'Central Goldfields', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3465', 'short_name': '3465', 'types': ['postal_code']}], 'formatted_address': ""Goldfields Children's Centre, 100 Napier St, Maryborough VIC 3465, Australia"", 'formatted_phone_number': '(03) 5441 8515', 'url': 'https://maps.google.com/?cid=5924888195811905509', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=maryborough'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,MELTON,VIC,Psychiatric Disability,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.6841898, 'lng': 144.5839292}, 'viewport': {'northeast': {'lat': -37.68273567010728, 'lng': 144.5852665298927}, 'southwest': {'lat': -37.68543532989272, 'lng': 144.5825668701073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJO8eeOD7t1moRJi5IuJbxvO8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '47', 'short_name': '47', 'types': ['street_number']}, {'long_name': 'Bakery Square', 'short_name': 'Bakery Square', 'types': ['route']}, {'long_name': 'Melton', 'short_name': 'Melton', 'types': ['locality', 'political']}, {'long_name': 'Melton City', 'short_name': 'Melton', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3337', 'short_name': '3337', 'types': ['postal_code']}], 'formatted_address': '47 Bakery Square, Melton VIC 3337, Australia', 'formatted_phone_number': '(03) 9747 2061', 'url': 'https://maps.google.com/?cid=17274947900325506598', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=melton'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,MELTON,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.6841898, 'lng': 144.5839292}, 'viewport': {'northeast': {'lat': -37.68273567010728, 'lng': 144.5852665298927}, 'southwest': {'lat': -37.68543532989272, 'lng': 144.5825668701073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJO8eeOD7t1moRJi5IuJbxvO8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '47', 'short_name': '47', 'types': ['street_number']}, {'long_name': 'Bakery Square', 'short_name': 'Bakery Square', 'types': ['route']}, {'long_name': 'Melton', 'short_name': 'Melton', 'types': ['locality', 'political']}, {'long_name': 'Melton City', 'short_name': 'Melton', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3337', 'short_name': '3337', 'types': ['postal_code']}], 'formatted_address': '47 Bakery Square, Melton VIC 3337, Australia', 'formatted_phone_number': '(03) 9747 2061', 'url': 'https://maps.google.com/?cid=17274947900325506598', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=melton'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,MOE,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.1765462, 'lng': 146.2606}, 'viewport': {'northeast': {'lat': -38.17510407010727, 'lng': 146.2619374798927}, 'southwest': {'lat': -38.17780372989272, 'lng': 146.2592378201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ5clffusJKWsRkVXtuOVWZME'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '29', 'short_name': '29', 'types': ['street_number']}, {'long_name': 'George Street', 'short_name': 'George St', 'types': ['route']}, {'long_name': 'Moe', 'short_name': 'Moe', 'types': ['locality', 'political']}, {'long_name': 'Latrobe City', 'short_name': 'Latrobe', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3825', 'short_name': '3825', 'types': ['postal_code']}], 'formatted_address': 'Latrobe City Council Service Centre, 29 George St, Moe VIC 3825, Australia', 'formatted_phone_number': '(03) 5135 3648', 'url': 'https://maps.google.com/?cid=13935358691641218449', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=moe'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,MONBULK,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.87599489999999, 'lng': 145.4097309}, 'viewport': {'northeast': {'lat': -37.87478847010728, 'lng': 145.4108774298927}, 'southwest': {'lat': -37.87748812989272, 'lng': 145.4081777701072}}}, 'name': 'APM', 'place_id': 'ChIJF3vNQ4wn1moRc9_BupbfH5E'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Living & Learning Centre', 'short_name': 'Living & Learning Centre', 'types': ['point_of_interest', 'establishment']}, {'long_name': '21', 'short_name': '21', 'types': ['street_number']}, {'long_name': 'Main Road', 'short_name': 'Main Rd', 'types': ['route']}, {'long_name': 'Monbulk', 'short_name': 'Monbulk', 'types': ['locality', 'political']}, {'long_name': 'Yarra Ranges Shire', 'short_name': 'Yarra Ranges', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3793', 'short_name': '3793', 'types': ['postal_code']}], 'formatted_address': 'Living & Learning Centre, 21 Main Rd, Monbulk VIC 3793, Australia', 'formatted_phone_number': '(03) 9762 9980', 'url': 'https://maps.google.com/?cid=10457322698248937331', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=monbulk'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,MORNINGTON,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -38.226267, 'lng': 145.0423561}, 'viewport': {'northeast': {'lat': -38.22485157010728, 'lng': 145.0438717798928}, 'southwest': {'lat': -38.22755122989273, 'lng': 145.0411721201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJt8UoknfZ1WoR2GlxXjWmrCk'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['subpremise']}, {'long_name': '311-313', 'short_name': '311-313', 'types': ['street_number']}, {'long_name': 'Main Street', 'short_name': 'Main St', 'types': ['route']}, {'long_name': 'Mornington', 'short_name': 'Mornington', 'types': ['locality', 'political']}, {'long_name': 'Shire of Mornington Peninsula', 'short_name': 'Shire of Mornington Peninsula', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3931', 'short_name': '3931', 'types': ['postal_code']}], 'formatted_address': '2/311-313 Main St, Mornington VIC 3931, Australia', 'formatted_phone_number': '(03) 5973 6784', 'url': 'https://maps.google.com/?cid=3002957799697246680', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=mornington'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,MORWELL,VIC,All Client Types,5,"[{'candidates': [{'geometry': {'location': {'lat': -38.2384276, 'lng': 146.3982271}, 'viewport': {'northeast': {'lat': -38.23717962010728, 'lng': 146.3995544798927}, 'southwest': {'lat': -38.23987927989273, 'lng': 146.3968548201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJP9_N52sRKWsRoKsk6q2fQWE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '75-77', 'short_name': '75-77', 'types': ['street_number']}, {'long_name': 'George Street', 'short_name': 'George St', 'types': ['route']}, {'long_name': 'Morwell', 'short_name': 'Morwell', 'types': ['locality', 'political']}, {'long_name': 'Latrobe City', 'short_name': 'Latrobe', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3840', 'short_name': '3840', 'types': ['postal_code']}], 'formatted_address': '75-77 George St, Morwell VIC 3840, Australia', 'formatted_phone_number': '(03) 5135 3648', 'url': 'https://maps.google.com/?cid=7008058064471632800', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=morwell'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,MYRTLEFORD,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -36.5596139, 'lng': 146.7235612}, 'viewport': {'northeast': {'lat': -36.55814817010727, 'lng': 146.7250293798928}, 'southwest': {'lat': -36.56084782989272, 'lng': 146.7223297201073}}}, 'name': 'APM', 'place_id': 'ChIJlRqNjx-9JmsRCwHS_v_jrMQ'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '5', 'short_name': '5', 'types': ['subpremise']}, {'long_name': '32', 'short_name': '32', 'types': ['street_number']}, {'long_name': 'Smith Street', 'short_name': 'Smith St', 'types': ['route']}, {'long_name': 'Myrtleford', 'short_name': 'Myrtleford', 'types': ['locality', 'political']}, {'long_name': 'Alpine Shire', 'short_name': 'Alpine', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3737', 'short_name': '3737', 'types': ['postal_code']}], 'formatted_address': '5/32 Smith St, Myrtleford VIC 3737, Australia', 'formatted_phone_number': '(03) 5762 5793', 'url': 'https://maps.google.com/?cid=14171952816059449611', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=myrtleford'}, 'status': 'OK'}]"
